,scores
1010,60.0
1011,13.0
1012,151.0
1013,18.0
1014,19.0
1015,45.0
1016,33.0
1017,19.0
1018,26.0
1019,35.0
1020,42.0
1021,30.0
1022,52.0
1023,20.0
1024,44.0
1025,44.0
1026,41.0
1027,38.0
1028,35.0
1029,43.0
1030,51.0
1031,22.0
1032,55.0
1033,66.0
1034,16.0
1035,23.0
1036,18.0
1037,129.0
1038,32.0
1039,31.0
1040,37.0
1041,45.0
1042,19.0
1043,49.0
1044,50.0
1045,23.0
1046,121.0
1047,60.0
1048,11.0
1049,82.0
1050,56.0
1051,30.0
1052,178.0
1053,94.0
1054,43.0
1055,32.0
1056,14.0
1057,23.0
1058,48.0
1059,42.0
1060,55.0
1061,31.0
1062,89.0
1063,18.0
1064,19.0
1065,83.0
1066,27.0
1067,33.0
1068,28.0
1069,34.0
1070,21.0
1071,67.0
1072,29.0
1073,36.0
1074,36.0
1075,25.0
1076,35.0
1077,27.0
1078,34.0
1079,47.0
1080,22.0
1081,62.0
1082,35.0
1083,132.0
1084,58.0
1085,95.0
1086,51.0
1087,38.0
1088,79.0
1089,33.0
1090,108.0
1091,40.0
1092,38.0
1093,43.0
1094,36.0
1095,52.0
1096,25.0
1097,55.0
1098,45.0
1099,20.0
1100,22.0
1101,18.0
1102,41.0
1103,37.0
1104,22.0
1105,170.0
1106,52.0
1107,104.0
1108,102.0
1109,60.0
1110,42.0
1111,110.0
1112,51.0
1113,26.0
1114,67.0
1115,56.0
1116,22.0
1117,14.0
1118,105.0
1119,33.0
1120,88.0
1121,49.0
1122,27.0
1123,45.0
1124,35.0
1125,41.0
1126,102.0
1127,205.0
1128,147.0
1129,64.0
1130,98.0
1131,19.0
1132,31.0
1133,27.0
1134,122.0
1135,33.0
1136,83.0
1137,49.0
1138,61.0
1139,25.0
1140,141.0
1141,92.0
1142,146.0
1143,59.0
1144,15.0
1145,81.0
1146,45.0
1147,56.0
1148,44.0
1149,78.0
1150,85.0
1151,81.0
1152,26.0
1153,23.0
1154,61.0
1155,103.0
1156,40.0
1157,91.0
1158,159.0
1159,77.0
1160,65.0
1161,32.0
1162,19.0
1163,33.0
1164,36.0
1165,76.0
1166,31.0
1167,111.0
1168,42.0
1169,82.0
1170,85.0
1171,85.0
1172,36.0
1173,54.0
1174,101.0
1175,32.0
1176,84.0
1177,188.0
1178,201.0
1179,114.0
1180,99.0
1181,85.0
1182,34.0
1183,89.0
1184,68.0
1185,186.0
1186,187.0
1187,33.0
1188,69.0
1189,52.0
1190,196.0
1191,182.0
1192,49.0
1193,41.0
1194,24.0
1195,166.0
1196,20.0
1197,133.0
1198,119.0
1199,73.0
1200,54.0
1201,42.0
1202,48.0
1203,145.0
1204,24.0
1205,109.0
1206,91.0
1207,51.0
1208,142.0
1209,158.0
1210,73.0
1211,93.0
1212,74.0
1213,14.0
1214,35.0
1215,118.0
1216,28.0
1217,33.0
1218,49.0
1219,134.0
1220,101.0
1221,41.0
1222,131.0
1223,144.0
1224,17.0
1225,115.0
1226,106.0
1227,46.0
1228,142.0
1229,71.0
1230,85.0
1231,112.0
1232,111.0
1233,54.0
1234,67.0
1235,47.0
1236,92.0
1237,184.0
1238,71.0
1239,138.0
1240,32.0
1241,42.0
1242,30.0
1243,135.0
1244,38.0
1245,67.0
1246,60.0
1247,101.0
1248,127.0
1249,165.0
1250,54.0
1251,119.0
1252,107.0
1253,24.0
1254,38.0
1255,60.0
1256,61.0
1257,97.0
1258,73.0
1259,39.0
1260,42.0
1261,101.0
1262,153.0
1263,136.0
1264,20.0
1265,38.0
1266,118.0
1267,85.0
1268,97.0
1269,41.0
1270,39.0
1271,99.0
1272,46.0
1273,63.0
1274,141.0
1275,27.0
1276,54.0
1277,94.0
1278,123.0
1279,189.0
1280,40.0
1281,49.0
1282,91.0
1283,72.0
1284,95.0
1285,115.0
1286,125.0
1287,102.0
1288,59.0
1289,157.0
1290,128.0
1291,49.0
1292,135.0
1293,66.0
1294,132.0
1295,43.0
1296,74.0
1297,38.0
1298,133.0
1299,145.0
1300,159.0
1301,47.0
1302,97.0
1303,44.0
1304,89.0
1305,82.0
1306,181.0
1307,203.0
1308,66.0
1309,315.0
1310,53.0
1311,113.0
1312,125.0
1313,49.0
1314,37.0
1315,160.0
1316,130.0
1317,136.0
1318,87.0
1319,81.0
1320,153.0
1321,119.0
1322,214.0
1323,85.0
1324,44.0
1325,95.0
1326,162.0
1327,194.0
1328,44.0
1329,48.0
1330,17.0
1331,114.0
1332,41.0
1333,51.0
1334,22.0
1335,87.0
1336,26.0
1337,42.0
1338,191.0
1339,141.0
1340,120.0
1341,31.0
1342,94.0
1343,25.0
1344,85.0
1345,124.0
1346,31.0
1347,48.0
1348,106.0
1349,153.0
1350,141.0
1351,51.0
1352,129.0
1353,32.0
1354,271.0
1355,182.0
1356,145.0
1357,25.0
1358,177.0
1359,141.0
1360,103.0
1361,189.0
1362,123.0
1363,116.0
1364,133.0
1365,20.0
1366,106.0
1367,141.0
1368,104.0
1369,218.0
1370,150.0
1371,231.0
1372,110.0
1373,130.0
1374,130.0
1375,207.0
1376,171.0
1377,152.0
1378,242.0
1379,57.0
1380,165.0
1381,237.0
1382,198.0
1383,116.0
1384,12.0
1385,127.0
1386,40.0
1387,179.0
1388,148.0
1389,159.0
1390,112.0
1391,227.0
1392,36.0
1393,160.0
1394,71.0
1395,166.0
1396,140.0
1397,201.0
1398,117.0
1399,88.0
1400,243.0
1401,113.0
1402,205.0
1403,132.0
1404,106.0
1405,133.0
1406,306.0
1407,102.0
1408,146.0
1409,98.0
1410,250.0
1411,236.0
1412,42.0
1413,286.0
1414,124.0
1415,329.0
1416,169.0
1417,294.0
1418,139.0
1419,124.0
1420,286.0
1421,89.0
1422,28.0
1423,133.0
1424,315.0
1425,240.0
1426,135.0
1427,243.0
1428,162.0
1429,418.0
1430,354.0
1431,225.0
1432,32.0
1433,127.0
1434,325.0
1435,295.0
1436,182.0
1437,150.0
1438,192.0
1439,233.0
1440,266.0
1441,306.0
1442,302.0
1443,186.0
1444,173.0
1445,146.0
1446,202.0
1447,299.0
1448,271.0
1449,123.0
1450,21.0
1451,82.0
1452,153.0
1453,75.0
1454,202.0
1455,272.0
1456,186.0
1457,413.0
1458,101.0
1459,124.0
1460,195.0
1461,223.0
1462,64.0
1463,53.0
1464,66.0
1465,396.0
1466,186.0
1467,188.0
1468,142.0
1469,216.0
1470,368.0
1471,500.0
1472,123.0
1473,97.0
1474,230.0
1475,250.0
1476,472.0
1477,369.0
1478,280.0
1479,92.0
1480,480.0
1481,181.0
1482,500.0
1483,25.0
1484,152.0
1485,86.0
1486,171.0
1487,308.0
1488,181.0
1489,145.0
1490,359.0
1491,248.0
1492,357.0
1493,500.0
1494,166.0
1495,368.0
1496,385.0
1497,197.0
1498,233.0
1499,294.0
1500,287.0
1501,413.0
1502,22.0
1503,379.0
1504,300.0
1505,342.0
1506,500.0
1507,283.0
1508,92.0
1509,235.0
1510,500.0
1511,202.0
1512,330.0
1513,477.0
1514,252.0
1515,375.0
1516,376.0
1517,309.0
1518,500.0
1519,189.0
1520,500.0
1521,444.0
1522,337.0
1523,251.0
1524,500.0
1525,330.0
1526,186.0
1527,347.0
1528,83.0
1529,232.0
1530,500.0
1531,450.0
1532,243.0
1533,102.0
1534,426.0
1535,214.0
1536,268.0
1537,457.0
1538,500.0
1539,390.0
1540,223.0
1541,392.0
1542,500.0
1543,74.0
1544,365.0
1545,219.0
1546,171.0
1547,239.0
1548,500.0
1549,395.0
1550,369.0
1551,249.0
1552,357.0
1553,500.0
1554,162.0
1555,363.0
1556,500.0
1557,340.0
1558,317.0
1559,253.0
1560,360.0
1561,255.0
1562,450.0
1563,194.0
1564,21.0
1565,174.0
1566,485.0
1567,255.0
1568,398.0
1569,500.0
1570,500.0
1571,125.0
1572,385.0
1573,386.0
1574,398.0
1575,322.0
1576,454.0
1577,287.0
1578,380.0
1579,500.0
1580,500.0
1581,421.0
1582,268.0
1583,432.0
1584,312.0
1585,500.0
1586,392.0
1587,500.0
1588,353.0
1589,286.0
1590,409.0
1591,500.0
1592,311.0
1593,414.0
1594,500.0
1595,500.0
1596,48.0
1597,500.0
1598,133.0
1599,500.0
1600,500.0
1601,301.0
1602,151.0
1603,278.0
1604,49.0
1605,120.0
1606,473.0
1607,471.0
1608,129.0
1609,231.0
1610,339.0
1611,466.0
1612,396.0
1613,361.0
1614,232.0
1615,358.0
1616,500.0
1617,401.0
1618,500.0
1619,23.0
1620,500.0
1621,312.0
1622,476.0
1623,391.0
1624,230.0
1625,393.0
1626,500.0
1627,247.0
1628,393.0
1629,500.0
1630,500.0
1631,458.0
1632,296.0
1633,500.0
1634,91.0
1635,500.0
1636,449.0
1637,500.0
1638,367.0
1639,500.0
1640,250.0
1641,202.0
1642,347.0
1643,214.0
1644,500.0
1645,443.0
1646,195.0
1647,500.0
1648,480.0
1649,394.0
1650,177.0
1651,294.0
1652,111.0
1653,336.0
1654,262.0
1655,161.0
1656,500.0
1657,500.0
1658,334.0
1659,500.0
1660,228.0
1661,367.0
1662,407.0
1663,310.0
1664,217.0
1665,42.0
1666,218.0
1667,500.0
1668,500.0
1669,177.0
1670,329.0
1671,236.0
1672,153.0
1673,381.0
1674,339.0
1675,500.0
1676,500.0
1677,331.0
1678,500.0
1679,402.0
1680,500.0
1681,409.0
1682,457.0
1683,390.0
1684,235.0
1685,305.0
1686,355.0
1687,192.0
1688,348.0
1689,305.0
1690,294.0
1691,134.0
1692,212.0
1693,286.0
1694,312.0
1695,309.0
1696,239.0
1697,148.0
1698,296.0
1699,500.0
1700,252.0
1701,500.0
1702,500.0
1703,393.0
1704,308.0
1705,424.0
1706,362.0
1707,444.0
1708,309.0
1709,234.0
1710,198.0
1711,246.0
1712,393.0
1713,319.0
1714,47.0
1715,136.0
1716,315.0
1717,189.0
1718,313.0
1719,293.0
1720,222.0
1721,216.0
1722,365.0
1723,273.0
1724,52.0
1725,305.0
1726,181.0
1727,300.0
1728,250.0
1729,187.0
1730,334.0
1731,289.0
1732,500.0
1733,317.0
1734,233.0
1735,459.0
1736,339.0
1737,500.0
1738,492.0
1739,398.0
1740,326.0
1741,382.0
1742,300.0
1743,270.0
1744,463.0
1745,500.0
1746,500.0
1747,331.0
1748,500.0
1749,500.0
1750,317.0
1751,231.0
1752,500.0
1753,365.0
1754,264.0
1755,43.0
1756,323.0
1757,199.0
1758,366.0
1759,404.0
1760,388.0
1761,500.0
1762,384.0
1763,500.0
1764,370.0
1765,357.0
1766,500.0
1767,500.0
1768,500.0
1769,500.0
1770,300.0
1771,405.0
1772,115.0
1773,500.0
1774,345.0
1775,271.0
1776,486.0
1777,350.0
1778,493.0
1779,379.0
1780,272.0
1781,221.0
1782,500.0
1783,316.0
1784,143.0
1785,500.0
1786,28.0
1787,500.0
1788,500.0
1789,500.0
1790,231.0
1791,500.0
1792,350.0
1793,148.0
1794,465.0
1795,307.0
1796,449.0
1797,420.0
1798,500.0
1799,178.0
1800,141.0
1801,191.0
1802,292.0
1803,270.0
1804,286.0
1805,449.0
1806,305.0
1807,500.0
1808,500.0
1809,160.0
1810,57.0
1811,500.0
1812,236.0
1813,254.0
1814,441.0
1815,234.0
1816,285.0
1817,314.0
1818,320.0
1819,465.0
1820,500.0
1821,500.0
1822,500.0
1823,500.0
1824,437.0
1825,500.0
1826,493.0
1827,307.0
1828,500.0
1829,500.0
1830,500.0
1831,500.0
1832,223.0
1833,138.0
1834,500.0
1835,500.0
1836,68.0
1837,127.0
1838,244.0
1839,63.0
1840,363.0
1841,262.0
1842,354.0
1843,332.0
1844,443.0
1845,317.0
1846,53.0
1847,273.0
1848,342.0
1849,296.0
1850,287.0
1851,309.0
1852,87.0
1853,44.0
1854,222.0
1855,198.0
1856,432.0
1857,215.0
1858,108.0
1859,500.0
1860,500.0
1861,500.0
1862,500.0
1863,500.0
1864,370.0
1865,500.0
1866,500.0
1867,500.0
1868,173.0
1869,500.0
1870,493.0
1871,500.0
1872,500.0
1873,343.0
1874,342.0
1875,500.0
1876,441.0
1877,358.0
1878,425.0
1879,500.0
1880,284.0
1881,500.0
1882,127.0
1883,359.0
1884,500.0
1885,500.0
1886,185.0
1887,469.0
1888,263.0
1889,500.0
1890,332.0
1891,302.0
1892,175.0
1893,59.0
1894,377.0
1895,464.0
1896,427.0
1897,387.0
1898,288.0
1899,282.0
1900,440.0
1901,402.0
1902,500.0
1903,382.0
1904,479.0
1905,500.0
1906,500.0
1907,500.0
1908,500.0
1909,500.0
1910,347.0
1911,500.0
1912,279.0
1913,448.0
1914,195.0
1915,430.0
1916,476.0
1917,262.0
1918,43.0
1919,469.0
1920,260.0
1921,420.0
1922,476.0
1923,317.0
1924,500.0
1925,361.0
1926,500.0
1927,500.0
1928,500.0
1929,255.0
1930,283.0
1931,356.0
1932,500.0
1933,500.0
1934,500.0
1935,500.0
1936,500.0
1937,318.0
1938,281.0
1939,500.0
1940,500.0
1941,500.0
1942,180.0
1943,500.0
1944,131.0
1945,500.0
1946,304.0
1947,287.0
1948,295.0
1949,194.0
1950,249.0
1951,231.0
1952,270.0
1953,211.0
1954,207.0
1955,232.0
1956,248.0
1957,211.0
1958,251.0
1959,252.0
1960,247.0
1961,278.0
1962,282.0
1963,207.0
1964,284.0
1965,270.0
1966,243.0
1967,242.0
1968,250.0
1969,341.0
1970,305.0
1971,360.0
1972,407.0
1973,325.0
1974,306.0
1975,314.0
1976,305.0
1977,332.0
1978,325.0
1979,500.0
1980,327.0
1981,500.0
1982,500.0
1983,500.0
1984,500.0
1985,500.0
1986,500.0
1987,500.0
1988,500.0
