,scores
359,-12.613036758094395
360,-12.223622449728397
361,-12.802121989695335
362,-13.817765363917095
363,-14.050572705346422
364,-13.960270250307337
365,-13.859098328981094
366,-13.161116028711493
367,-13.626242304198309
368,-14.193931320241147
369,-14.174084160108116
370,-13.801738795449392
371,-13.998232233332608
372,-13.836432010802666
373,-14.24631049480667
374,-14.253840831643664
375,-13.039347315342159
376,-13.787949478736458
377,-13.674089875079767
378,-16.15441131899157
379,-12.465290896487964
380,-13.650523970866058
381,-13.987213651211635
382,-13.269080208748562
383,-13.769384402036026
384,-12.849025081070442
385,-12.983841645063315
386,-14.551129021730052
387,-14.913795249655738
388,-14.337375699175777
389,-13.545612565520523
390,-13.406448856015432
391,-13.821421996970082
392,-12.822171593063048
393,-13.732735703230668
394,-13.75470941520795
395,-13.811378770453523
396,-13.89855799166861
397,-14.021625720460346
398,-14.334825119436987
399,-13.9153382519473
400,-13.645900213071512
401,-13.342620364904423
402,-13.666855561053607
403,-13.648034672441176
404,-14.406019435659694
405,-13.638456011012702
406,-13.91346994542973
407,-13.449015944118273
408,-14.226673323742403
409,-13.578284021606278
410,-13.660109677229485
411,-14.76591283275709
412,-12.992487539983019
413,-14.018124326377972
414,-13.241937419411133
415,-12.204732137188273
416,-12.733724482536513
417,-14.331388516267417
418,-14.223360101853848
419,-14.179915122636249
420,-13.804449528391633
421,-13.128115072958716
422,-14.311088533255505
423,-14.248604419426659
424,-13.205950534156887
425,-13.608067485232946
426,-14.718446282635036
427,-14.265722009009629
428,-13.004475772410474
429,-14.043329910351844
430,-12.715549940845062
431,-13.272533404981223
432,-12.719202229235817
433,-14.365341335960448
434,-13.239290963333353
435,-14.034519927904737
436,-13.76132372432636
437,-13.390347799245996
438,-12.799932358043678
439,-13.071911422220237
440,-14.082576469470789
441,-14.019980426844437
442,-12.591585508308436
443,-14.239815586067058
444,-13.161217266793368
445,-13.433777100998217
446,-13.165150415392324
447,-13.918621883038712
448,-13.997267431108586
449,-13.08721762558755
450,-14.712817102699665
451,-13.354790675847356
452,-13.107402061517906
453,-14.160014940126036
454,-13.692092506161828
455,-13.377481081173448
456,-13.150686444942977
457,-14.954651299697549
458,-15.118893252117486
459,-13.137313030395054
460,-13.621410073635378
